,변동사유발생연월일,구분,횟수
0,2021-01,신규등록,1
1,2021-01,폐업,3
2,2021-01,휴업,3
3,2021-01,휴업,10
4,2021-01,폐업,5
5,2021-01,휴업,11
6,2021-01,신규등록,4
7,2021-01,폐업,11
8,2021-01,휴업,15
9,2021-01,휴업,16
10,2021-01,휴업,17
11,2021-01,폐업,12
12,2021-01,휴업,20
13,2021-01,폐업,13
14,2021-01,휴업,21
15,2021-01,폐업,15
16,2021-01,신규등록,5
17,2021-01,폐업,16
18,2021-01,휴업,23
19,2021-01,폐업,19
20,2021-01,휴업,26
21,2021-01,신규등록,6
22,2021-01,휴업,30
23,2021-01,신규등록,7
24,2021-01,폐업,21
25,2021-01,휴업,31
26,2021-01,신규등록,8
27,2021-01,폐업,22
28,2021-01,휴업,33
29,2021-01,신규등록,9
30,2021-01,폐업,23
31,2021-01,휴업,34
32,2021-01,폐업,24
33,2021-01,신규등록,10
34,2021-01,폐업,27
35,2021-01,휴업,39
36,2021-01,폐업,28
37,2021-01,신규등록,12
38,2021-01,폐업,30
39,2021-01,휴업,40
40,2021-01,폐업,31
41,2021-01,휴업,41
42,2021-02,폐업,32
43,2021-02,폐업,33
44,2021-02,휴업,43
45,2021-02,신규등록,13
46,2021-02,휴업,44
47,2021-02,휴업,45
48,2021-02,신규등록,14
49,2021-02,폐업,34
50,2021-02,휴업,46
51,2021-02,휴업,47
52,2021-02,폐업,35
53,2021-02,휴업,49
54,2021-02,폐업,36
55,2021-02,휴업,54
56,2021-02,휴업,55
57,2021-02,폐업,37
58,2021-02,폐업,39
59,2021-02,휴업,56
60,2021-02,신규등록,15
61,2021-02,휴업,59
62,2021-02,휴업,62
63,2021-02,폐업,40
64,2021-02,휴업,65
65,2021-02,휴업,66
66,2021-02,폐업,42
67,2021-02,휴업,68
68,2021-02,신규등록,16
69,2021-02,신규등록,17
70,2021-02,폐업,45
71,2021-02,휴업,71
72,2021-02,휴업,73
73,2021-03,폐업,46
74,2021-03,휴업,76
75,2021-03,신규등록,18
76,2021-03,폐업,47
77,2021-03,휴업,77
78,2021-03,폐업,49
79,2021-03,폐업,50
80,2021-03,휴업,79
81,2021-03,휴업,81
82,2021-03,폐업,51
83,2021-03,휴업,83
84,2021-03,폐업,53
85,2021-03,휴업,84
86,2021-03,휴업,85
87,2021-03,폐업,54
88,2021-03,휴업,88
89,2021-03,폐업,56
90,2021-03,휴업,91
91,2021-03,신규등록,19
92,2021-03,폐업,57
93,2021-03,휴업,92
94,2021-03,폐업,58
95,2021-03,휴업,93
96,2021-03,신규등록,20
97,2021-03,휴업,95
98,2021-03,폐업,59
99,2021-03,휴업,96
100,2021-03,신규등록,21
101,2021-03,휴업,97
102,2021-03,신규등록,23
103,2021-03,휴업,101
104,2021-03,휴업,102
105,2021-03,폐업,63
106,2021-03,휴업,103
107,2021-03,신규등록,25
108,2021-03,폐업,67
109,2021-03,휴업,105
110,2021-04,신규등록,26
111,2021-04,폐업,68
112,2021-04,휴업,107
113,2021-04,신규등록,28
114,2021-04,폐업,69
115,2021-04,휴업,110
116,2021-04,폐업,73
117,2021-04,휴업,111
118,2021-04,신규등록,30
119,2021-04,휴업,115
120,2021-04,휴업,116
121,2021-04,폐업,77
122,2021-04,휴업,120
123,2021-04,폐업,78
124,2021-04,휴업,122
125,2021-04,등록취소,1
126,2021-04,폐업,79
127,2021-04,휴업,123
128,2021-04,폐업,83
129,2021-04,휴업,128
130,2021-04,폐업,84
131,2021-04,휴업,130
132,2021-04,신규등록,31
133,2021-04,폐업,86
