,지역,상호,주소,상표
0,서울,한경에너지,"서울특별시 강서구 개화동로 255, 개화동 한경에너지 (개화동) 개화동 한경에너지",SK
1,서울,기린에너지,서울 영등포구 선유로 52길 5 (양평동4가)  ,SK
2,서울,홍익에너지㈜,서울 송파구 석촌호수로 242 (석촌동)  ,E1
3,서울,활주로충전소,"서울특별시 강서구 방화대로 26, (외발산동) (외발산동) (외발산동)",SK가스
4,서울,대성산업㈜ 오류동충전소,서울 구로구 오리로 11길 53(오류동)  ,GS칼텍스
5,서울,대성산업㈜ 동부충전소,서울 성동구 광나루로 200 (성수동2가)  ,GS칼텍스
6,서울,㈜상현상사,서울 강남구 학동로 204 (논현동)  ,SK
7,서울,우일에너지㈜,서울 성북구 종암로 201 (하월곡동)  ,GS칼텍스
8,서울,㈜해양가스,서울 광진구 자양로 77 (자양동)  ,SK
9,서울,태능가스㈜,서울 노원구 화랑로 405 (공릉동)  ,S-OiL
10,서울,복지마곡충전소,"서울특별시 강서구 양천로 200, 마곡동 223-46  GS1층 사무실 (마곡동)",GS칼텍스
11,서울,(주)에이치앤디이 서울만남의광장충전소,서울 서초구 양재대로 12길 73-71 (원지동)  ,GS칼텍스
12,서울,㈜경기에너지,서울 강동구 천호대로 1056 (성내동)  ,E1
13,서울,방화동LPG충전소,서울특별시 강서구 양천로27길 261-40 (방화동),E1
14,서울,서초충전소,서울 서초구 남부순환로 2224 (방배동)  ,SK
15,서울,국제가스공업㈜,"서울 강북구 덕릉로 24길 6, 규봉빌딩 (수유동)  ",SK
16,서울,㈜노일가스,서울 노원구 동일로 1601 (상계동)  ,SK가스
17,서울,㈜중앙에너비스 삼중가스지점,서울 금천구 시흥대로 316 (독산동)  ,SK
18,서울,㈜평안에너지 상계충전소,서울 노원구 동일로 210길 (중계동)  ,E1
19,서울,복지송파충전소,"서울특별시 송파구 위례중앙로 37, MG송파충전소 (장지동)[*미고시] 복지송파충전소",GS칼텍스
20,서울,㈜풍림에너지,서울 중랑구 동일로 553 (면목동)  ,GS칼텍스
21,서울,케이와이에너지(주)신림충전소,서울 관악구 신림로 170 (신림동)  ,현대오일뱅크
22,서울,중곡충전소,서울 광진구 동일로 323 (중곡동)  ,현대오일뱅크
23,서울,(주)평안에너지 도봉충전소,서울 도봉구 도봉로 983 (도봉동)  ,E1
24,서울,복지둔촌충전소,서울 강동구 동남로 563 (둔촌동)  ,SK
25,서울,㈜삼표에너지 수색충전소,서울 은평구 수색로 181 (증산동)  ,GS칼텍스
26,서울,㈜삼표에너지 김포충전소,서울 강서구 오정로 390  ,GS칼텍스
