,지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유,lat,long
0,서울특별시,재건에너지 재정제2주유소 고속셀프지점,서울특별시 강동구  천호대로     ,현대오일뱅크,02-487-2030,Y,0,1709,1829,0,37.5377854,127.1265483
1,서울특별시,방아다리주유소,서울 강동구 동남로    ,SK에너지,02-442-5145,Y,0,1745,1865,1700,37.5551833,127.1565844
2,서울특별시,현대오일뱅크㈜직영 명일셀프주유소,서울 강동구 고덕로    ,현대오일뱅크,02-3428-1739,Y,2033,1751,1851,0,37.5547286,127.1364591
3,서울특별시,구천면주유소,서울 강동구 구천면로    ,현대오일뱅크,02-441-0536,N,0,1754,1855,0,37.5500883,127.1466717
4,서울특별시,대성석유(주)길동주유소,서울 강동구 천호대로,GS칼텍스,02-474-7222,N,1995,1776,1869,1800,37.5377854,127.1265483
5,서울특별시,(주)삼표에너지 고덕주유소,서울 강동구 고덕로   ,GS칼텍스,02-441-3327,Y,1998,1778,1878,1748,37.5547286,127.1364591
6,서울특별시,지에스칼텍스㈜ 동서울주유소,서울 강동구 천호대로     ,GS칼텍스,02-426-5372,Y,0,1783,1943,0,37.5377854,127.1265483
7,서울특별시,sk해뜨는주유소,서울 강동구  상일로    ,SK에너지,02-442-7801,Y,0,1785,1880,1700,37.553051,127.1723493
8,서울특별시,(주)소모에너지 신월주유소,서울 강동구 양재대로     ,GS칼텍스,02-6956-6674,N,1995,1795,1878,1600,37.5567979,127.1446472
9,서울특별시,주)지유에너지직영 오렌지주유소,서울 강동구 성안로    ,SK에너지,02-484-6165,N,0,1851,1931,1600,37.537929,127.135603
10,서울특별시,(주)퍼스트오일 코알라주유소,서울특별시 강동구  올림픽로    ,S-OIL,02-484-1162,Y,0,1858,1938,0,37.5538754,127.1282822
11,서울특별시,(주)소모에너지 성내주유소,서울 강동구 올림픽로    ,GS칼텍스,02-479-3838,Y,0,1868,1938,0,37.5538754,127.1282822
12,서울특별시,천호현대주유소,서울 강동구 천중로   ,현대오일뱅크,02-484-9323,N,0,1898,2043,0,37.540447,127.1505459
13,서울특별시,광성주유소,서울 강동구 올림픽로    ,S-OIL,02-470-5133,N,0,2028,2158,2000,37.5538754,127.1282822
14,서울특별시,풍한주유소,서울 동대문구 안암로,SK에너지,02-924-5189,N,0,1675,1805,0,37.5828337,127.029697
15,서울특별시,동서울고속주유소,서울 동대문구 한천로,SK에너지,02-969-1144,Y,1945,1675,1795,0,37.5698629,127.0644296
16,서울특별시,대성산업(주)동마장주유소,서울 동대문구 고산자로    ,GS칼텍스,02-966-5451,Y,1939,1675,1805,0,37.5781921,127.0383566
17,서울특별시,대성산업㈜청량리주유소,서울 동대문구 왕산로    ,GS칼텍스,02-966-9400,Y,0,1675,1805,0,37.5805669,127.0459512
18,서울특별시,(주)경동주유소,서울 동대문구 이문로    ,S-OIL,02-965-6006,Y,0,1675,1805,1600,37.5913753,127.0568599
19,서울특별시,삼영주유소,서울 동대문구 답십리로    ,SK에너지,02-2217-2017,N,0,1675,1795,0,37.57646,127.04673
20,서울특별시,열린주유소,서울 동대문구 한천로    ,S-OIL,02-2215-6543,N,0,1677,1797,0,37.5698629,127.0644296
21,서울특별시,(주)파랑에너지,서울 동대문구 망우로,GS칼텍스,02-2242-5145,Y,1945,1685,1825,1600,37.5882294,127.0538827
22,서울특별시,재정제2주유소,서울 동대문구 사가정로   ,현대오일뱅크,02-2249-6682,Y,0,1699,1839,0,37.5787297,127.0698176
23,서울특별시,재정주유소,서울 동대문구 전농로    ,현대오일뱅크,070-8256-4617,Y,1945,1699,1839,0,37.58088,127.05544
24,서울특별시,배봉로주유소,서울 동대문구 서울시립대로,현대오일뱅크,02-2242-0556,Y,0,1715,1855,0,37.5750243,127.0467517
25,서울특별시,(주)안국에너지 삼원셀프주유소,서울 동대문구 망우로   ,SK에너지,02-2244-1972,Y,0,1718,1848,1750,37.5882294,127.0538827
26,서울특별시,홍능주유소,서울 동대문구 홍릉로   ,S-OIL,02-966-9190,N,0,1727,1875,1650,37.5890748,127.0426696
27,서울특별시,삼미상사(주)장안킹셀프주유소,서울 동대문구  한천로    ,SK에너지,02-2242-7115,Y,0,1734,1865,0,37.5698629,127.0644296
28,서울특별시,현대오일뱅크㈜직영 스피드주유소,서울 동대문구 천호대로    ,현대오일뱅크,02-2216-5151,N,1998,1747,1865,0,37.5641045,127.0563794
29,서울특별시,오동나무주유소,서울 동대문구  한천로   ,S-OIL,02-2247-5132,N,0,1798,1898,1800,37.5698629,127.0644296
30,서울특별시,한영주유소 (한화),서울 동대문구 망우로   ,현대오일뱅크,02-2214-9890,N,0,1990,1990,0,37.5882294,127.0538827
31,경기도,안산주유소 강릉방향,경기 안산시 단원구 영동고속도로,SK에너지,031-403-5158,N,0,1662,1794,0,37.3505821,126.8067146
32,경기도,(주)동강석유 남안산IC주유소,경기 안산시 단원구 성곡로    ,S-OIL,031-494-1080,Y,0,1672,1799,0,37.3356823,126.7785001
33,경기도,안산주유소 인천방향,경기 안산시 단원구 영동고속도로,SK에너지,031-402-5157,N,0,1672,1799,0,37.3505821,126.8067146
