,날짜,보통휘발유,자동차용경유,연도,일자
0,2019년01월01일,1375.08,1272.42,2019,01월01일
1,2019년01월02일,1371.58,1269.2,2019,01월02일
2,2019년01월03일,1367.67,1265.31,2019,01월03일
3,2019년01월04일,1363.93,1261.82,2019,01월04일
4,2019년01월05일,1361.02,1258.88,2019,01월05일
5,2019년01월06일,1359.6,1257.43,2019,01월06일
6,2019년01월07일,1357.21,1255.3,2019,01월07일
7,2019년01월08일,1354.46,1252.58,2019,01월08일
8,2019년01월09일,1352.61,1250.76,2019,01월09일
9,2019년01월10일,1351.2,1249.46,2019,01월10일
10,2019년01월11일,1350.06,1248.49,2019,01월11일
11,2019년01월12일,1349.44,1247.73,2019,01월12일
12,2019년01월13일,1349.16,1247.24,2019,01월13일
13,2019년01월14일,1348.54,1246.92,2019,01월14일
14,2019년01월15일,1347.96,1246.19,2019,01월15일
15,2019년01월16일,1347.39,1245.63,2019,01월16일
16,2019년01월17일,1346.77,1245.01,2019,01월17일
17,2019년01월18일,1346.19,1244.52,2019,01월18일
18,2019년01월19일,1345.82,1244.19,2019,01월19일
19,2019년01월20일,1345.6,1243.97,2019,01월20일
20,2019년01월21일,1345.57,1244.06,2019,01월21일
21,2019년01월22일,1345.59,1243.88,2019,01월22일
22,2019년01월23일,1345.48,1243.78,2019,01월23일
23,2019년01월24일,1345.35,1243.69,2019,01월24일
24,2019년01월25일,1345.27,1243.58,2019,01월25일
25,2019년01월26일,1344.93,1243.33,2019,01월26일
26,2019년01월27일,1344.94,1243.22,2019,01월27일
27,2019년01월28일,1344.93,1243.41,2019,01월28일
28,2019년01월29일,1344.76,1243.41,2019,01월29일
29,2019년01월30일,1344.49,1243.27,2019,01월30일
30,2019년01월31일,1344.35,1243.04,2019,01월31일
31,2019년02월01일,1344.15,1242.99,2019,02월01일
32,2019년02월02일,1344.21,1243.01,2019,02월02일
33,2019년02월03일,1344.16,1242.9,2019,02월03일
34,2019년02월04일,1344.12,1242.77,2019,02월04일
35,2019년02월05일,1344.13,1242.71,2019,02월05일
36,2019년02월06일,1343.85,1242.41,2019,02월06일
37,2019년02월07일,1343.8,1242.24,2019,02월07일
38,2019년02월08일,1343.48,1242.17,2019,02월08일
39,2019년02월09일,1343.19,1242.03,2019,02월09일
40,2019년02월10일,1343.13,1241.93,2019,02월10일
41,2019년02월11일,1342.93,1241.92,2019,02월11일
42,2019년02월12일,1342.66,1241.75,2019,02월12일
43,2019년02월13일,1342.5,1241.58,2019,02월13일
44,2019년02월14일,1342.34,1241.53,2019,02월14일
45,2019년02월15일,1342.24,1241.52,2019,02월15일
46,2019년02월16일,1342.55,1241.71,2019,02월16일
47,2019년02월17일,1342.62,1241.69,2019,02월17일
48,2019년02월18일,1342.75,1242.03,2019,02월18일
49,2019년02월19일,1342.87,1242.2,2019,02월19일
50,2019년02월20일,1342.97,1242.5,2019,02월20일
51,2019년02월21일,1343.19,1242.74,2019,02월21일
52,2019년02월22일,1343.7,1243.23,2019,02월22일
53,2019년02월23일,1344.3,1243.82,2019,02월23일
54,2019년02월24일,1344.64,1244.03,2019,02월24일
55,2019년02월25일,1345.21,1244.77,2019,02월25일
56,2019년02월26일,1345.97,1245.75,2019,02월26일
57,2019년02월27일,1346.57,1246.36,2019,02월27일
58,2019년02월28일,1347.17,1246.94,2019,02월28일
59,2019년03월01일,1348.52,1248.5,2019,03월01일
60,2019년03월02일,1349.01,1248.8,2019,03월02일
61,2019년03월03일,1349.18,1248.9,2019,03월03일
62,2019년03월04일,1349.54,1249.48,2019,03월04일
63,2019년03월05일,1350.21,1250.28,2019,03월05일
64,2019년03월06일,1350.83,1251.02,2019,03월06일
65,2019년03월07일,1351.77,1252.01,2019,03월07일
66,2019년03월08일,1353.58,1253.97,2019,03월08일
67,2019년03월09일,1354.89,1255.17,2019,03월09일
68,2019년03월10일,1355.69,1255.79,2019,03월10일
69,2019년03월11일,1356.86,1257.38,2019,03월11일
70,2019년03월12일,1358.93,1259.29,2019,03월12일
71,2019년03월13일,1361.38,1261.62,2019,03월13일
72,2019년03월14일,1363.69,1263.88,2019,03월14일
73,2019년03월15일,1366.83,1267.06,2019,03월15일
74,2019년03월16일,1369.55,1269.58,2019,03월16일
75,2019년03월17일,1370.93,1270.67,2019,03월17일
76,2019년03월18일,1372.96,1272.95,2019,03월18일
77,2019년03월19일,1375.77,1275.44,2019,03월19일
78,2019년03월20일,1378.03,1277.6,2019,03월20일
79,2019년03월21일,1379.83,1279.21,2019,03월21일
80,2019년03월22일,1381.85,1281.22,2019,03월22일
81,2019년03월23일,1383.83,1283.09,2019,03월23일
82,2019년03월24일,1384.72,1283.7,2019,03월24일
83,2019년03월25일,1386.32,1285.44,2019,03월25일
84,2019년03월26일,1388.31,1287.33,2019,03월26일
85,2019년03월27일,1389.97,1288.77,2019,03월27일
86,2019년03월28일,1391.43,1290.02,2019,03월28일
87,2019년03월29일,1392.77,1291.24,2019,03월29일
88,2019년03월30일,1393.96,1292.32,2019,03월30일
89,2019년03월31일,1394.19,1292.39,2019,03월31일
90,2019년04월01일,1396.21,1294.48,2019,04월01일
91,2019년04월02일,1398.26,1296.03,2019,04월02일
92,2019년04월03일,1399.91,1297.42,2019,04월03일
93,2019년04월04일,1401.33,1298.55,2019,04월04일
94,2019년04월05일,1402.73,1299.7,2019,04월05일
95,2019년04월06일,1404.24,1300.91,2019,04월06일
96,2019년04월07일,1405.01,1301.4,2019,04월07일
97,2019년04월08일,1406.37,1302.72,2019,04월08일
98,2019년04월09일,1408.14,1304.14,2019,04월09일
